datum,Total sales,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Day,Weekday Number
2018-12-02,494.848,31.83,34.568,19.05,253.9,55.0,6.0,70.0,24.5,2018,12,2,7
2018-12-09,408.299,23.49,21.509,15.7,222.6,60.0,0.0,56.0,9.0,2018,12,9,7
2018-12-16,479.45300000000003,23.34,21.913,19.7,249.7,51.0,5.0,98.0,10.8,2018,12,16,7
2018-12-23,438.31899999999996,37.68,17.239,13.8,240.6,53.0,9.0,58.0,9.0,2018,12,23,7
2018-12-30,629.625,45.03,33.145,18.3,349.85,67.0,10.0,96.0,10.3,2018,12,30,7
2019-01-06,503.46299999999997,41.0,31.263,23.55,289.65,51.0,2.0,54.0,11.0,2019,1,6,7
2019-01-13,580.264,35.66,28.404,20.2,354.8,79.2,6.0,50.0,6.0,2019,1,13,7
2019-01-20,721.259,51.19,52.069,27.95,384.05,69.0,3.0,121.0,13.0,2019,1,20,7
2019-01-27,772.393,38.35,53.243,22.5,478.3,69.0,9.0,93.0,9.0,2019,1,27,7
2019-02-03,698.663,52.18,53.571,30.65,348.562,64.0,5.0,131.0,13.7,2019,2,3,7
2019-02-10,537.451,32.35,47.251,28.7,297.45,50.0,4.0,62.0,15.7,2019,2,10,7
2019-02-17,483.494,35.01,36.772,31.8,249.912,78.4,0.0,35.0,16.6,2019,2,17,7
2019-02-24,385.685,22.35,24.635,16.4,204.0,71.0,3.0,31.0,13.3,2019,2,24,7
2019-03-03,389.644,26.68,18.414,20.85,187.8,49.0,6.0,57.0,23.9,2019,3,3,7
2019-03-10,436.279,30.51,16.569,21.7,231.9,72.0,5.0,26.0,32.6,2019,3,10,7
2019-03-17,529.113,43.51,22.953,20.2,251.45,66.0,5.0,88.0,32.0,2019,3,17,7
2019-03-24,459.601,35.99,20.661,13.95,196.6,68.4,2.0,74.0,48.0,2019,3,24,7
2019-03-31,443.344,31.17,43.774,20.0,172.9,69.0,4.0,53.0,49.5,2019,3,31,7
2019-04-07,433.32500000000005,36.19,25.685,26.5,173.35,62.0,1.0,51.0,57.6,2019,4,7,7
2019-04-14,357.395,30.33,28.165,14.5,125.5,72.4,4.0,42.0,40.5,2019,4,14,7
2019-04-21,344.517,29.84,24.027,14.55,117.9,80.0,9.0,36.0,33.2,2019,4,21,7
2019-04-28,446.864,57.7,14.514,21.95,181.3,67.0,6.0,62.0,36.4,2019,4,28,7
2019-05-05,413.323,31.36,27.413,28.55,157.6,52.0,7.0,64.0,45.4,2019,5,5,7
2019-05-12,461.618,36.35,19.968,22.2,149.1,79.0,8.0,123.0,24.0,2019,5,12,7
2019-05-19,399.36466666999996,40.0,18.023,23.65,160.0,68.0,5.0,61.29166667,23.4,2019,5,19,7
2019-05-26,443.64500000000004,42.17,28.925,24.35,194.4,49.8,5.0,65.0,34.0,2019,5,26,7
2019-06-02,312.655,32.49,14.703,25.0,141.462,40.0,4.0,27.0,28.0,2019,6,2,7
2019-06-09,372.707,37.67,16.537,28.8,157.6,52.0,7.0,45.0,28.1,2019,6,9,7
2019-06-16,335.80899999999997,37.2,23.259,24.75,123.6,46.0,1.0,23.0,57.0,2019,6,16,7
2019-06-23,358.988,35.66,27.388,20.5,148.5,49.0,10.0,32.0,35.94,2019,6,23,7
2019-06-30,317.453,34.01,30.443,20.1,130.9,41.0,6.0,28.0,27.0,2019,6,30,7
2019-07-07,300.277,34.65,20.777,19.0,132.05,47.0,1.0,17.0,28.8,2019,7,7,7
2019-07-14,350.569,44.0,31.319,28.05,149.6,53.6,8.0,15.0,21.0,2019,7,14,7
2019-07-21,332.629,47.33,18.649,17.45,149.2,55.0,2.0,15.0,28.0,2019,7,21,7
2019-07-28,323.034,36.52,19.439,19.3,124.375,70.0,5.0,30.0,18.4,2019,7,28,7
2019-08-04,377.76,44.01,23.3,21.3,156.45,54.0,11.0,48.0,19.7,2019,8,4,7
2019-08-11,318.759,40.99,19.219,21.3,86.25,57.0,8.0,66.0,20.0,2019,8,11,7
2019-08-18,315.839,45.18,19.109,13.55,125.0,53.0,2.0,35.0,23.0,2019,8,18,7
2019-08-25,313.38599999999997,41.87,27.516,17.05,115.45,61.0,6.0,24.0,20.5,2019,8,25,7
2019-09-01,280.90200000000004,30.36,16.842,25.0,117.4,45.2,4.0,15.0,27.1,2019,9,1,7
2019-09-08,338.48199999999997,40.71,26.767,15.75,154.755,51.0,6.0,15.0,28.5,2019,9,8,7
2019-09-15,397.212,35.51,30.977,19.65,178.375,67.2,5.0,30.0,30.5,2019,9,15,7
2019-09-22,426.08599999999996,46.84,25.396,24.4,248.25,31.2,3.0,26.0,21.0,2019,9,22,7
2019-09-29,545.52466667,34.01,22.498,26.6,336.7,61.2,1.0,40.41666667,23.1,2019,9,29,7
2019-10-06,456.032,38.7,32.502,19.25,249.45,69.0,5.0,30.0,12.13,2019,10,6,7
2019-10-13,153.507,7.67,6.237,3.5,95.1,26.0,2.0,12.0,1.0,2019,10,13,7
