dataset,n_filas,fecha_min,fecha_max,Total ventas,media_total_sales,Mediana,Desv.Est.,CoV,Mín,Máx
Daily,2106,2014-01-02 00:00:00,2019-10-08 00:00:00,127595.50368748402,60.58665892093258,58.466499999999996,21.561684196852514,0.35588171688079323,0.0,198.95
Hourly,50532,2014-01-02 08:00:00,2019-10-08 19:00:00,127595.503687632,2.525043609744954,1.0,3.6809680563927856,1.457783953586682,0.0,37.0
Monthly,70,2014-01-31 00:00:00,2019-10-31 00:00:00,126585.77400000003,1808.3682000000006,1792.6170000000002,480.26591239185694,0.2655797156750803,1.0,3146.906
Weekly,302,2014-01-05 00:00:00,2019-10-13 00:00:00,127595.503687503,422.5016678394139,409.086,99.05269284665692,0.23444331794757614,153.507,790.83716667
