,importance
N02BE,0.7244099668880033
R03,0.09562019504958377
N05B,0.08531930332506937
N02BA,0.03370133789258292
M01AB,0.029505170529594022
M01AE,0.0177781554386487
R06,0.010496807827973926
N05C,0.002764327072203779
roll7,0.00023172394565633842
lag_1,6.814539787592317e-05
lag_7,5.968741800788497e-05
Month,1.9295865270102063e-05
Weekday,1.5003674635799016e-05
Year,1.0879674894227117e-05
