,importance
N02BE,0.7755602786192823
N05B,0.07440684883988559
R03,0.0700238471095716
M01AB,0.020734820904397384
N02BA,0.017068671442254088
M01AE,0.012899829607370353
R06,0.007749916866410704
lag_1,0.00454290720745591
roll7,0.004488340640307883
lag_7,0.004362289957670594
N05C,0.0022785804911228708
Month,0.0022566517094377825
Weekday,0.0022482675113083307
Year,0.001378749093524613
