categoria,ventas,share
N02BE,63005.40270834,0.49379014845740427
N05B,18645.737499971,0.14613161875703293
R03,11608.822916672001,0.09098144198799636
M01AB,10600.937083334,0.08308237184672722
M01AE,8204.618645833,0.06430178500590691
N02BA,8172.209000000999,0.06404778196586736
R06,6107.8175,0.047868595079648746
N05C,1249.958333333,0.009796256899416197
