iter	RMSE
260	1.09687006
261	1.093741457
262	1.086608094
263	1.084073485
264	1.081306653
265	1.075704615
266	1.073288516
267	1.070082969
268	1.067144697
269	1.063383962
270	1.06079055
271	1.058036249
272	1.055329616
273	1.052809463
274	1.048922342
275	1.046869397
276	1.043895728
277	1.040011069
278	1.037063924
279	1.034400174
280	1.03244488
281	1.026560671
282	1.025064008
283	1.02217094
284	1.019252546
285	1.016800374
286	1.014895226
287	1.012997103
288	1.010935075
289	1.006670814
290	1.003842988
291	1.001837404
292	0.999218716
293	0.9969102844
294	0.9951093744
295	0.9931338977
296	0.9904185192
297	0.9887548962
298	0.9868816425
299	0.9853925472
300	0.9829205841
301	0.9816302485
302	0.9801246158
303	0.97821527
304	0.9760317111
305	0.9746773245
306	0.9722316008
307	0.970007432
308	0.9658319997
309	0.9643577313
310	0.9597659333
311	0.9574885724
312	0.9555351936
313	0.95395424
314	0.9527095101
315	0.9514527648
316	0.9494537223
317	0.9484584168
318	0.9452049407
319	0.9437412942
320	0.9406627564
321	0.9388205319
322	0.9372793765
323	0.9346703671
324	0.932687603
325	0.9312086011
326	0.9302569637
327	0.9282283615
328	0.9238880009
329	0.9210493981
330	0.9200388103
331	0.9176751076
332	0.9164081409
333	0.9155256472
334	0.913246782
335	0.9121600423
336	0.9109391167
337	0.9066434401
338	0.9049539807
339	0.9041811054
340	0.9024791216
341	0.9012521175
342	0.8986199894
343	0.895527621
344	0.8938179275
345	0.8926781653
346	0.8903142549
347	0.888817316
348	0.8874590875
349	0.8865663543
350	0.8857741381
351	0.8836419392
352	0.8812172264
353	0.8797093497
354	0.8784678303
355	0.8772110336
356	0.8754251837
357	0.8733889357
358	0.8720695635
359	0.8699641723
360	0.8687469831
361	0.8668735926
362	0.8653772422
363	0.8646776494
364	0.8636793893
365	0.8615892562
366	0.8599491348
367	0.8577272771
368	0.8565325908
369	0.8553203642
370	0.8538144969
371	0.8517833924
372	0.8500948106
373	0.8484125616
374	0.8475671855
375	0.8459056604
376	0.8445583865
377	0.8418887169
378	0.8396068741
379	0.8380084823
380	0.8371574621
381	0.8361980737
382	0.834703419
383	0.8333427156
384	0.8324713673
385	0.831196455
386	0.8299730308
387	0.8286046429
388	0.8267589517
389	0.8257629432
390	0.8239879959
391	0.8229575251
392	0.821292328
393	0.8193598477
394	0.8187291725
395	0.817834162
396	0.8166315775
397	0.8154817809
398	0.8136688164
399	0.8121926727
